yc,xc1,xc2,tc1,tc2,tc3
102.09,-2.45,52.34,7.15,6.75,2.72
92.21,1.18,54.91,7.15,6.75,2.72
102.09,5.99,52.19,7.15,6.75,2.72
98.79,11.56,54.58,7.15,6.75,2.72
102.09,17.67,57.98,7.15,6.75,2.72
144.59,22.46,65.8,7.15,6.75,2.72
161.56,24.17,74.83,7.15,6.75,2.72
171.67,25.79,74.19,7.15,6.75,2.72
115.3,21.79,62.62,7.15,6.75,2.72
102.09,14.58,60.9,7.15,6.75,2.72
98.8,8.37,57.32,7.15,6.75,2.72
102.08,1.1,55.89,7.15,6.75,2.72
95.97,-2.45,52.34,8.82,5.24,2.87
86.68,1.18,54.91,8.82,5.24,2.87
95.96,5.99,52.19,8.82,5.24,2.87
92.87,11.56,54.58,8.82,5.24,2.87
95.97,17.67,57.98,8.82,5.24,2.87
135.76,22.46,65.8,8.82,5.24,2.87
151.54,24.17,74.83,8.82,5.24,2.87
160.74,25.79,74.19,8.82,5.24,2.87
108.3,21.79,62.62,8.82,5.24,2.87
95.97,14.58,60.9,8.82,5.24,2.87
92.87,8.37,57.32,8.82,5.24,2.87
95.96,1.1,55.89,8.82,5.24,2.87
121.1,-2.45,52.34,9.35,7.55,2.55
109.38,1.18,54.91,9.35,7.55,2.55
121.1,5.99,52.19,9.35,7.55,2.55
117.19,11.56,54.58,9.35,7.55,2.55
121.1,17.67,57.98,9.35,7.55,2.55
169.59,22.46,65.8,9.35,7.55,2.55
190.16,24.17,74.83,9.35,7.55,2.55
202.22,25.79,74.19,9.35,7.55,2.55
136.43,21.79,62.62,9.35,7.55,2.55
121.1,14.58,60.9,9.35,7.55,2.55
117.2,8.37,57.32,9.35,7.55,2.55
121.1,1.1,55.89,9.35,7.55,2.55
91.38,-2.45,52.34,6.46,6.01,2.91
82.53,1.18,54.91,6.46,6.01,2.91
91.37,5.99,52.19,6.46,6.01,2.91
88.43,11.56,54.58,6.46,6.01,2.91
91.38,17.67,57.98,6.46,6.01,2.91
129.74,22.46,65.8,6.46,6.01,2.91
144.66,24.17,74.83,6.46,6.01,2.91
153.43,25.79,74.19,6.46,6.01,2.91
103.2,21.79,62.62,6.46,6.01,2.91
91.38,14.58,60.9,6.46,6.01,2.91
88.43,8.37,57.32,6.46,6.01,2.91
91.37,1.1,55.89,6.46,6.01,2.91
103.99,-2.45,52.34,8.3,6.34,3.07
93.92,1.18,54.91,8.3,6.34,3.07
103.98,5.99,52.19,8.3,6.34,3.07
100.63,11.56,54.58,8.3,6.34,3.07
103.99,17.67,57.98,8.3,6.34,3.07
142.27,22.46,65.8,8.3,6.34,3.07
158.35,24.17,74.83,8.3,6.34,3.07
167.4,25.79,74.19,8.3,6.34,3.07
115.78,21.79,62.62,8.3,6.34,3.07
103.99,14.58,60.9,8.3,6.34,3.07
100.63,8.37,57.32,8.3,6.34,3.07
103.98,1.1,55.89,8.3,6.34,3.07
94.09,-2.45,52.34,7.56,5.71,3.19
84.98,1.18,54.91,7.56,5.71,3.19
94.09,5.99,52.19,7.56,5.71,3.19
91.05,11.56,54.58,7.56,5.71,3.19
94.09,17.67,57.98,7.56,5.71,3.19
129.76,22.46,65.8,7.56,5.71,3.19
144.27,24.17,74.83,7.56,5.71,3.19
152.43,25.79,74.19,7.56,5.71,3.19
105.01,21.79,62.62,7.56,5.71,3.19
94.09,14.58,60.9,7.56,5.71,3.19
91.05,8.37,57.32,7.56,5.71,3.19
94.08,1.1,55.89,7.56,5.71,3.19
98.46,-2.45,52.34,6.82,6.55,3.41
88.93,1.18,54.91,6.82,6.55,3.41
98.46,5.99,52.19,6.82,6.55,3.41
95.28,11.56,54.58,6.82,6.55,3.41
98.46,17.67,57.98,6.82,6.55,3.41
132.39,22.46,65.8,6.82,6.55,3.41
146.79,24.17,74.83,6.82,6.55,3.41
154.65,25.79,74.19,6.82,6.55,3.41
108.76,21.79,62.62,6.82,6.55,3.41
98.46,14.58,60.9,6.82,6.55,3.41
95.28,8.37,57.32,6.82,6.55,3.41
98.46,1.1,55.89,6.82,6.55,3.41
114.59,-2.45,52.34,8.36,7.4,2.34
103.49,1.18,54.91,8.36,7.4,2.34
114.58,5.99,52.19,8.36,7.4,2.34
110.89,11.56,54.58,8.36,7.4,2.34
114.59,17.67,57.98,8.36,7.4,2.34
165.93,22.46,65.8,8.36,7.4,2.34
186.62,24.17,74.83,8.36,7.4,2.34
199.28,25.79,74.19,8.36,7.4,2.34
130.88,21.79,62.62,8.36,7.4,2.34
114.59,14.58,60.9,8.36,7.4,2.34
110.89,8.37,57.32,8.36,7.4,2.34
114.58,1.1,55.89,8.36,7.4,2.34
109.45,-2.45,52.34,7.83,7.15,3.36
98.86,1.18,54.91,7.83,7.15,3.36
109.45,5.99,52.19,7.83,7.15,3.36
105.92,11.56,54.58,7.83,7.15,3.36
109.45,17.67,57.98,7.83,7.15,3.36
145.19,22.46,65.8,7.83,7.15,3.36
161.04,24.17,74.83,7.83,7.15,3.36
169.6,25.79,74.19,7.83,7.15,3.36
120.34,21.79,62.62,7.83,7.15,3.36
109.45,14.58,60.9,7.83,7.15,3.36
105.92,8.37,57.32,7.83,7.15,3.36
109.44,1.1,55.89,7.83,7.15,3.36
100.33,-2.45,52.34,8.97,5.61,2.65
90.61,1.18,54.91,8.97,5.61,2.65
100.32,5.99,52.19,8.97,5.61,2.65
97.08,11.56,54.58,8.97,5.61,2.65
100.33,17.67,57.98,8.97,5.61,2.65
143.86,22.46,65.8,8.97,5.61,2.65
161.03,24.17,74.83,8.97,5.61,2.65
171.27,25.79,74.19,8.97,5.61,2.65
113.93,21.79,62.62,8.97,5.61,2.65
100.33,14.58,60.9,8.97,5.61,2.65
97.09,8.37,57.32,8.97,5.61,2.65
100.32,1.1,55.89,8.97,5.61,2.65
